trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,0,-14.98090042822976,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,10,-9.34249579190785,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",25,0,-26.451186225998896,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,0,-120.1109872182634,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,6,-12.511399741927672,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",30,0,-116.04613628591208,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-66.09006295336064,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,0,-45.96922172100593,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,6,10.00021966976501,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.522045776761016}",35,4,-39.88402874658398,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,5,-11.769637357722083,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,0,-59.683905226584386,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,0,-69.53886965725299,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",35,1,-49.38468814670215,"{0: 29, 1: 0, 2: 3, 3: 1, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",30,11,-48.046700322313804,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,0,-16.1550254308274,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,14,0.6181236509283146,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
