trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-113.28296057656301,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,0,-55.064961165555346,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,9,-19.654776531380637,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,0,-134.33657284263506,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,0,-81.55534067039663,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,0,-69.35561406708432,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,0,-50.8695979531425,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,0,-110.9345017102899,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,0,-114.63880786937615,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.3362164937067333}",20,0,-103.22096503659675,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,0,-79.20650364173476,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,0,-84.33292379707731,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,0,-201.77016587471405,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",20,0,-79.69092076499291,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,0,-88.16958739443179,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,9,-33.74326824587575,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,0,-97.78896896403975,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,0,-96.20613375175621,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,0,-177.66182853096618,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,1,-76.29978194183957,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,0,-167.2750102157744,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",35,0,-89.12885503447613,"{0: 24, 1: 4, 2: 5, 3: 2, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,0,-61.78644312008004,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",25,0,-159.4875194216735,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,0,-194.56538145573435,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",30,0,-92.64444161812119,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,0,-71.33528269972153,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,0,-101.9992707176692,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,0,-111.34920918024159,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,0,-141.10313653924047,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,0,-96.91422414105173,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,2,-52.87062262021763,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,0,-199.9625186536973,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,0,-168.27761456803375,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.261845668580326}",25,5,-126.85555051015544,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,9,-46.36040639827349,"{0: 5, 1: 3, 2: 2, 3: 1, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",25,2,-116.33803876474006,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",30,0,-180.3285535547079,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,0,-163.13637202410456,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",30,0,-131.9764197127557,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,-126.97611177249,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,0,-142.78695009912033,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,0,-43.709715327440385,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",25,0,-141.85916606407756,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.23692775868212176}",25,0,-167.78938044041854,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,0,-115.14528598474907,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.23223627472975883}",25,0,-114.36280920565547,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
147,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,0,-146.13905246095374,"{0: 8, 1: 6, 2: 3, 3: 1, 4: 2}",0
148,False,"{'a': 0.5, 'e': 0.22763768838381274}",25,7,-74.72450091930904,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943872}",25,0,-112.15810522367676,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,20,-20.181507224798978,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,0,-79.35329028159234,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,0,-129.94404245147592,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",30,0,-189.2315106428587,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
154,False,"{'a': 0.5, 'e': 0.21438110142697794}",25,0,-103.29603557389366,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,0,-45.04036586337284,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,0,-36.43882143168059,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",30,0,-135.54270574168993,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",25,0,-143.4380423632168,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.20392561173421342}",20,2,-93.89427987492334,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.20189651799465538}",30,0,-144.86010683070532,"{0: 14, 1: 4, 2: 10, 3: 2, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",25,0,-129.80799219594581,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,0,-52.08247342922841,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",25,0,-155.8684400459567,"{0: 10, 1: 6, 2: 4, 3: 5, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",25,0,-75.76934258783226,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.19204990862075408}",20,0,-49.915564038961996,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,0,-167.06357527137894,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",25,0,-64.58442313077725,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,0,-154.35926914485896,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
169,False,"{'a': 0.5, 'e': 0.18451952399298926}",30,0,-202.36939301464844,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,0,-87.25194102497322,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,0,-99.49677815789332,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,10,-13.464704639145307,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",20,0,-133.04427961707552,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.17552040061699686}",30,0,-223.28617252887366,"{0: 18, 1: 3, 2: 3, 3: 2, 4: 4}",0
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,0,-128.32219418060336,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",35,6,-158.70624139819125,"{0: 12, 1: 7, 2: 6, 3: 4, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540943}",20,0,-154.20637366467474,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
178,False,"{'a': 0.5, 'e': 0.1686381472685955}",20,0,-158.41633750157095,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
179,False,"{'a': 0.5, 'e': 0.1669601696670407}",30,0,-160.56862928825248,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,10,-8.823528677305092,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270405}",20,6,-11.049707474327628,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16202575093388075}",20,13,-14.788083546122683,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16041356777517274}",20,0,-107.77840938197261,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
184,False,"{'a': 0.5, 'e': 0.15881742610692068}",30,0,-152.2496991973194,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
185,False,"{'a': 0.5, 'e': 0.1572371663136276}",20,0,-148.96206248544613,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
186,False,"{'a': 0.5, 'e': 0.1556726303679973}",25,0,-231.50422555052015,"{0: 9, 1: 6, 2: 5, 3: 2, 4: 3}",0
187,False,"{'a': 0.5, 'e': 0.1541236618151314}",30,0,-69.00496695335026,"{0: 21, 1: 4, 2: 3, 3: 2, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.15259010575688386}",30,0,-111.18446255524455,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
189,False,"{'a': 0.5, 'e': 0.15107180883637084}",20,0,-108.59100668153428,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
190,False,"{'a': 0.5, 'e': 0.14956861922263504}",30,0,-157.87727583995562,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
191,False,"{'a': 0.5, 'e': 0.14808038659546244}",25,16,-21.53062565425669,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14660696213035015}",20,0,-112.66179414921211,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
193,False,"{'a': 0.5, 'e': 0.14514819848362373}",20,0,-73.47506583831196,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
194,False,"{'a': 0.5, 'e': 0.14370394977770293}",20,0,-41.483710482509544,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
195,False,"{'a': 0.5, 'e': 0.1422740715865136}",25,0,-162.71556442504655,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
196,False,"{'a': 0.5, 'e': 0.140858420921045}",30,0,-172.49642415504425,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
197,False,"{'a': 0.5, 'e': 0.13945685621505094}",20,0,-82.98646002520996,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
198,False,"{'a': 0.5, 'e': 0.13806923731089282}",30,0,-181.39427776558966,"{0: 17, 1: 0, 2: 10, 3: 1, 4: 2}",1
199,False,"{'a': 0.5, 'e': 0.13669542544552385}",20,0,-66.08075411522898,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
200,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,9,-104.98826616955284,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 2}",1
201,False,"{'a': 0.5, 'e': 0.13398867466880493}",30,0,-202.0267341865127,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
202,False,"{'a': 0.5, 'e': 0.13265546508012172}",20,0,-158.83844165674827,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
203,False,"{'a': 0.5, 'e': 0.13133552114849303}",20,0,-76.90533706520128,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
204,False,"{'a': 0.5, 'e': 0.1300287108784259}",20,0,-83.55847276083487,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
205,False,"{'a': 0.5, 'e': 0.12873490358780423}",20,0,-93.28745759822336,"{0: 8, 1: 6, 2: 5, 3: 1, 4: 0}",0
206,False,"{'a': 0.5, 'e': 0.12745396989482075}",20,0,-108.14472651175963,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
207,False,"{'a': 0.5, 'e': 0.12618578170503877}",20,0,-37.69882836503268,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
208,False,"{'a': 0.5, 'e': 0.12493021219858241}",25,0,-89.35793593109611,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
209,False,"{'a': 0.5, 'e': 0.12368713581745483}",35,0,-217.44786589847024,"{0: 19, 1: 4, 2: 8, 3: 1, 4: 3}",0
210,False,"{'a': 0.5, 'e': 0.1224564282529819}",30,0,-190.57124051551196,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
211,False,"{'a': 0.5, 'e': 0.12123796643338168}",20,0,-215.4891410322327,"{0: 9, 1: 3, 2: 1, 3: 4, 4: 3}",0
212,False,"{'a': 0.5, 'e': 0.12003162851145673}",20,0,-75.16600551793725,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
213,False,"{'a': 0.5, 'e': 0.11883729385240965}",20,0,-112.12771991930296,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
